Unnamed: 0,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
0,2018-01-00,3℃,-6℃,晴~多云,东北风,2,59,良,2
1,2018-01-01,3℃,-6℃,晴~多云,东北风,1-2级,59,良,2
2,2018-01-02,2℃,-5℃,阴~多云,东北风,1-2级,49,优,1
3,2018-01-03,2℃,-5℃,多云,北风,1-2级,28,优,1
4,2018-01-04,0℃,-8℃,阴,东北风,1-2级,28,优,1
5,2018-01-05,3℃,-6℃,多云~晴,西北风,1-2级,50,优,1
6,2018-01-06,2℃,-5℃,多云~阴,西南风,1-2级,32,优,1
7,2018-01-07,2℃,-4℃,阴~多云,西南风,1-2级,59,良,2
8,2018-01-08,2℃,-6℃,晴,西北风,4-5级,50,优,1
9,2018-01-09,1℃,-8℃,晴,西北风,3-4级,34,优,1
10,2018-01-10,-2℃,-10℃,晴,西北风,1-2级,26,优,1
11,2018-01-11,-1℃,-10℃,晴,北风,1-2级,24,优,1
12,2018-01-12,2℃,-8℃,晴,西南风,1-2级,75,良,2
13,2018-01-13,3℃,-7℃,多云,南风,1-2级,126,轻度污染,3
14,2018-01-14,6℃,-5℃,晴~多云,西北风,1-2级,187,中度污染,4
15,2018-01-15,2℃,-5℃,阴,东南风,1-2级,47,优,1
16,2018-01-16,4℃,-5℃,多云,南风,1-2级,112,轻度污染,3
17,2018-01-17,6℃,-7℃,多云~晴,西北风,1-2级,82,良,2
18,2018-01-18,5℃,-6℃,晴,西南风,1-2级,80,良,2
19,2018-01-19,7℃,-4℃,晴,南风,1-2级,115,轻度污染,3
20,2018-01-20,3℃,-6℃,晴~多云,东风,1-2级,64,良,2
21,2018-01-21,0℃,-5℃,阴~小雪,东北风,1-2级,63,良,2
22,2018-01-22,-3℃,-10℃,小雪~多云,东风,1-2级,47,优,1
23,2018-01-23,-4℃,-12℃,晴,西北风,3-4级,31,优,1
24,2018-01-24,-4℃,-11℃,晴,西南风,1-2级,34,优,1
25,2018-01-25,-3℃,-11℃,多云,东北风,1-2级,27,优,1
26,2018-01-26,-3℃,-10℃,晴~多云,南风,1-2级,39,优,1
27,2018-01-27,-1℃,-9℃,多云,南风,1-2级,105,轻度污染,3
28,2018-01-28,-1℃,-9℃,晴,西北风,3-4级,55,良,2
29,2018-01-29,1℃,-8℃,晴,西北风,1-2级,57,良,2
30,2018-01-30,4℃,-7℃,晴,西北风,1-2级,36,优,1
31,2018-01-31,3℃,-8℃,晴,西南风,1-2级,60,良,2
32,2018-02-01,4℃,-7℃,多云,北风,1-2级,68,良,2
33,2018-02-02,-1℃,-9℃,晴,北风,3-4级,32,优,1
34,2018-02-03,0℃,-9℃,多云,北风,1-2级,24,优,1
35,2018-02-04,1℃,-8℃,晴,西南风,1-2级,36,优,1
36,2018-02-05,0℃,-10℃,晴,北风,3-4级,24,优,1
37,2018-02-06,3℃,-7℃,多云~阴,西南风,1-2级,56,良,2
38,2018-02-07,2℃,-10℃,多云~晴,北风,4-5级,63,良,2
39,2018-02-08,3℃,-7℃,多云,南风,3-4级,67,良,2
40,2018-02-09,4℃,-9℃,多云,西北风,4-5级,93,良,2
41,2018-02-10,1℃,-9℃,晴,西北风,3-4级,39,优,1
42,2018-02-11,0℃,-9℃,晴,西北风,4-5级,62,良,2
43,2018-02-12,5℃,-7℃,晴,西北风,1-2级,53,良,2
44,2018-02-13,8℃,-4℃,晴~多云,西风,1-2级,78,良,2
45,2018-02-14,6℃,-6℃,多云,北风,1-2级,42,优,1
46,2018-02-15,5℃,-5℃,多云,西南风,1-2级,48,优,1
47,2018-02-16,8℃,-5℃,晴~多云,西南风,1-2级,118,轻度污染,3
48,2018-02-17,5℃,-4℃,多云~阴,南风,1-2级,103,轻度污染,3
49,2018-02-18,8℃,-3℃,多云,南风,1-2级,148,轻度污染,3
50,2018-02-19,6℃,-3℃,多云,南风,1-2级,183,中度污染,4
51,2018-02-20,5℃,-5℃,晴,北风,1-2级,76,良,2
52,2018-02-21,8℃,-4℃,晴,南风,1-2级,53,良,2
53,2018-02-22,9℃,-4℃,多云,西南风,1-2级,42,优,1
54,2018-02-23,10℃,-4℃,多云,东北风,1-2级,45,优,1
55,2018-02-24,3℃,-6℃,多云~晴,南风,1-2级,66,良,2
56,2018-02-25,6℃,-4℃,多云,西南风,1-2级,73,良,2
57,2018-02-26,12℃,-1℃,晴~多云,西南风,1-2级,157,中度污染,4
58,2018-02-27,7℃,0℃,阴,东风,1-2级,220,重度污染,5
59,2018-02-28,9℃,-2℃,多云~晴,西南风,3-4级,139,轻度污染,3
60,2018-03-01,8℃,-3℃,多云,西南风,1-2级,46,优,1
61,2018-03-02,9℃,-1℃,晴~多云,北风,1-2级,95,良,2
62,2018-03-03,13℃,3℃,多云~阴,北风,1-2级,214,重度污染,5
63,2018-03-04,7℃,-2℃,阴~多云,东南风,1-2级,144,轻度污染,3
64,2018-03-05,8℃,-3℃,晴,南风,1-2级,94,良,2
65,2018-03-06,6℃,-3℃,多云~阴,东南风,3-4级,67,良,2
66,2018-03-07,6℃,-2℃,阴~多云,北风,1-2级,65,良,2
67,2018-03-08,8℃,-4℃,晴,东北风,1-2级,62,良,2
68,2018-03-09,10℃,-2℃,多云,西南风,1-2级,132,轻度污染,3
69,2018-03-10,14℃,-2℃,晴,东南风,1-2级,171,中度污染,4
70,2018-03-11,11℃,0℃,多云,南风,1-2级,81,良,2
71,2018-03-12,15℃,3℃,多云~晴,南风,1-2级,174,中度污染,4
72,2018-03-13,17℃,5℃,晴~多云,南风,1-2级,287,重度污染,5
73,2018-03-14,15℃,6℃,多云~阴,东北风,1-2级,293,重度污染,5
74,2018-03-15,12℃,-1℃,多云~晴,东北风,3-4级,70,良,2
75,2018-03-16,10℃,-1℃,多云,南风,1-2级,58,良,2
76,2018-03-17,4℃,0℃,小雨~阴,南风,1-2级,81,良,2
77,2018-03-18,13℃,1℃,多云~晴,西南风,1-2级,134,轻度污染,3
78,2018-03-19,13℃,2℃,多云,东风,1-2级,107,轻度污染,3
79,2018-03-20,10℃,-2℃,多云,南风,1-2级,41,优,1
