订单编号,用户编号,下单日期,城市,品类,单价,数量,折扣比例,运费,支付方式,订单状态
O100480,U0027,2024-09-17,Guangzhou,Electronics,736.1,3,0.1,12.0,WeChat,paid
O100449,U0093,2024-02-05,Guangzhou,Clothes,197.2,3,0.0,10.0,CreditCard,paid
O100475,U0032,2024-05-18,Guangzhou,Home,781.9,1,0.05,10.0,WeChat,paid
O100434,U0035,2024-08-13,beijing,Electronics,604.08,2,0.0,12.0,WeChat,paid
O100368,U0075,2024-03-13,shenzhen ,Electronics,428.2,1,0.1,10.0,CreditCard,paid
O100055,U0051,2024-09-28,Guangzhou,Clothes,49.97,1,0.0,6.0,Alipay,paid
O100322,U0105,2024-06-14,beijing,Clothes,572.11,1,0.0,6.0,WeChat,paid
O100076,U0008,2024-01-23,beijing,Home,595.26,2,0.15,,CreditCard,closed
O100362,U0024,2024-08-20,beijing,Electronics,532.29,2,0.0,10.0,WeChat,paid
O100347,U0001,2024-07-02,beijing,Clothes,179.81,1,0.0,10.0,WeChat,paid
O100415,U0109,2024-07-30,chengdu,Clothes,658.87,1,0.0,0.0,Alipay,closed
O100220,U0062,2024-07-21,beijing,Electronics,423.47,1,0.0,10.0,Alipay,closed
O100117,U0089,2024-03-15,beijing,Home,362.74,1,0.15,10.0,WeChat,paid
O100249,U0118,2024-08-15,beijing,Electronics,253.01,1,0.0,10.0,Alipay,paid
O100173,U0119,2024-01-09,beijing,Clothes,297.2,2,0.0,0.0,WeChat,paid
O100093,U0018,2024-06-26,beijing,Electronics,507.24,1,0.0,10.0,WeChat,paid
O100325,U0039,2024-04-15,chengdu,Home,377.47,1,0.0,10.0,CreditCard,closed
O100275,U0087,2024-06-25,beijing,Clothes,224.13,3,0.05,6.0,WeChat,paid
O100342,U0112,2024-09-05,beijing,Electronics,221.72,1,,10.0,CreditCard,paid
O100070,U0084,2024-07-22,chengdu,Electronics,86.14,1,0.05,0.0,WeChat,paid
O100343,U0116,2024-06-02,  Shanghai,Clothes,148.47,3,0.0,12.0,WeChat,paid
O100009,U0083,2024-02-20,  Shanghai,Clothes,121.95,2,0.15,6.0,Alipay,paid
O100250,U0032,2024-07-10,  Shanghai,Clothes,753.73,3,0.0,10.0,CreditCard,paid
O100408,U0086,2024-09-29,  Shanghai,Clothes,431.37,1,0.0,6.0,WeChat,refund
O100423,U0030,2024-08-15,chengdu,Clothes,405.49,1,0.1,10.0,WeChat,refund
O100451,U0046,2024-01-06,Guangzhou,Electronics,237.84,1,0.05,0.0,WeChat,paid
O100172,U0090,2024-03-16,chengdu,Electronics,166.66,1,0.0,10.0,WeChat,paid
O100030,U0033,2024-02-16,Guangzhou,Electronics,645.2,2,0.0,0.0,Alipay,paid
O100448,U0024,2024-08-16,  Shanghai,Home,687.48,1,0.0,0.0,WeChat,paid
O100090,U0054,2024-09-14,shenzhen ,Clothes,774.93,1,0.1,10.0,WeChat,paid
O100381,U0018,2024-04-22,  Shanghai,Electronics,688.6,1,0.1,10.0,CreditCard,paid
O100131,U0008,2024-02-06,beijing,Home,608.93,4,0.0,10.0,Alipay,paid
O100364,U0120,2024-02-15,  Shanghai,Clothes,316.73,2,0.0,0.0,Alipay,paid
O100073,U0060,2024-04-09,Guangzhou,Clothes,75.58,1,,6.0,Alipay,paid
O100210,U0062,2024-04-26,  Shanghai,Electronics,647.89,1,0.0,6.0,WeChat,paid
O100329,U0011,2024-05-17,,Electronics,682.98,1,0.05,0.0,WeChat,paid
O100369,U0113,2024-09-05,  Shanghai,Clothes,243.97,1,0.0,6.0,Alipay,paid
O100101,U0095,2024-02-12,  Shanghai,Electronics,52.72,3,0.1,10.0,WeChat,paid
O100218,U0084,2024-03-20,chengdu,Electronics,571.99,3,0.1,,Alipay,paid
O100154,U0023,2024-02-22,  Shanghai,Clothes,460.72,2,0.0,10.0,Alipay,paid
O100225,U0103,2024-05-26,Guangzhou,Clothes,89.11,1,0.1,6.0,Alipay,paid
O100399,U0008,2024-08-26,Guangzhou,Electronics,787.61,1,0.1,0.0,WeChat,closed
O100063,U0060,2024-03-26,shenzhen ,Electronics,71.99,1,,12.0,Alipay,paid
O100002,U0093,2024-06-21,Guangzhou,Electronics,797.42,2,0.0,6.0,Alipay,paid
O100441,U0093,2024-04-04,chengdu,Electronics,514.63,1,0.15,10.0,Alipay,paid
O100340,U0016,2024-08-27,Guangzhou,Electronics,633.3,1,0.0,10.0,Alipay,refund
O100082,U0050,2024-08-10,chengdu,Home,164.45,2,0.0,0.0,Alipay,paid
