,样本1,样本2,样本3,样本4,样本5,样本6,样本7,样本8,样本9,样本10
基因1,5.1,4.9,4.7,4.6,5.0,5.4,4.6,5.0,4.4,4.9
基因2,5.4,4.8,4.8,4.3,5.8,5.7,5.4,5.1,5.7,5.1
基因3,5.4,5.1,4.6,5.1,4.8,5.0,5.0,5.2,5.2,4.7
基因4,4.8,5.4,5.2,5.5,4.9,5.0,5.5,4.9,4.4,5.1
基因5,5.0,4.5,4.4,5.0,5.1,4.8,5.1,4.6,5.3,5.0
基因6,7.0,6.4,6.9,5.5,6.5,5.7,6.3,4.9,6.6,5.2
基因7,5.0,5.9,6.0,6.1,5.6,6.7,5.6,5.8,6.2,5.6
基因8,5.9,6.1,6.3,6.1,6.4,6.6,6.8,6.7,6.0,5.7
基因9,5.5,5.5,5.8,6.0,5.4,6.0,6.7,6.3,5.6,5.5
基因10,5.5,6.1,5.8,5.0,5.6,5.7,5.7,6.2,5.1,5.7
基因11,6.3,5.8,7.1,6.3,6.5,7.6,4.9,7.3,6.7,7.2
基因12,6.5,6.4,6.8,5.7,5.8,6.4,6.5,7.7,7.7,6.0
基因13,6.9,5.6,7.7,6.3,6.7,7.2,6.2,6.1,6.4,7.2
基因14,7.4,7.9,6.4,6.3,6.1,7.7,6.3,6.4,6.0,6.9
基因15,6.7,6.9,5.8,6.8,6.7,6.7,6.3,6.5,6.2,5.9
基因16,5.5,5.0,5.2,5.1,5.6,5.9,5.4,5.4,4.9,5.1
基因17,5.7,5.4,5.0,5.0,6.0,6.4,5.9,5.5,5.8,5.8
基因18,5.4,5.7,5.6,5.3,5.4,5.0,5.4,5.5,5.4,5.2
基因19,5.1,5.4,6.1,6.2,5.1,5.2,5.5,5.6,5.0,5.4
基因20,5.5,4.3,5.2,5.5,5.8,5.0,5.8,5.2,5.7,5.3
基因21,5.2,5.2,5.1,4.3,4.8,4.8,5.3,4.4,4.9,4.7
基因22,4.0,5.0,4.2,4.9,4.9,5.1,5.0,4.7,4.2,4.5
基因23,5.2,4.8,4.5,4.8,4.9,5.0,4.8,5.0,4.9,4.6
基因24,4.4,4.4,4.7,4.7,5.0,5.4,5.1,4.3,5.0,4.5
基因25,4.6,5.0,4.6,4.3,4.7,5.0,4.9,4.9,4.5,4.8
基因26,5.3,4.7,5.0,4.9,5.0,5.0,4.5,4.9,4.5,5.6
基因27,5.2,4.7,5.0,4.5,4.8,5.2,5.0,5.8,4.6,4.2
基因28,5.2,4.8,4.8,4.7,5.3,5.2,4.8,5.0,4.8,5.0
基因29,4.8,5.8,4.8,4.8,4.6,5.0,5.4,5.1,5.0,5.1
基因30,5.1,5.1,4.7,5.2,5.3,5.0,4.5,5.0,5.4,5.0
