code,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1980,7446,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1981,7654,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1982,10592,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1983,21268,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1984,8912,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1985,4179,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1986,4059,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1987,13698,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1988,2838,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1989,5516,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1990,34619,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1991,3584,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1992,8535,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1993,6864,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),1994,21676,
