index,微信,微博,抖音,销售额
0,231.1,41.8,73.2,26.1
1,48.5,42.3,50.1,11.4
2,22.2,48.9,71.3,10.3
3,153.5,42.3,60.5,23.5
4,181.8,14.8,59.4,15.9
5,9.7,50.9,79.0,11.2
6,58.5,34.8,25.5,13.8
7,123.2,24.6,15.6,17.2
8,13.6,5.1,2.0,5.8
9,200.8,7.6,23.2,15.6
10,69.1,8.8,25.2,10.6
11,216.7,26.0,8.0,21.4
12,27.8,36.1,69.9,14.2
13,100.5,12.6,11.2,14.7
14,209.1,36.9,51.0,24.0
15,196.4,52.7,56.9,25.4
16,69.8,38.6,118.0,13.5
17,283.4,42.6,60.8,27.4
18,73.2,23.5,21.3,12.3
19,148.3,26.9,22.1,18.6
20,222.4,30.7,55.4,21.0
21,241.4,9.1,26.5,16.5
22,15.2,18.9,53.6,7.6
23,230.3,21.9,29.2,19.5
24,66.3,15.6,22.3,10.7
25,263.9,7.5,22.5,16.0
26,147.9,30.3,13.6,18.0
27,243.1,20.7,23.9,16.9
28,252.8,28.1,25.9,21.9
29,75.6,20.0,45.8,11.5
30,296.9,32.3,48.2,23.4
31,113.9,18.4,39.6,13.9
32,102.2,3.5,34.0,11.6
33,266.6,25.0,4.3,21.4
34,96.7,2.4,9.4,12.5
35,294.7,6.1,10.5,17.8
36,267.9,47.8,8.0,29.4
37,79.7,53.4,49.7,15.7
38,44.1,31.7,38.1,14.1
39,229.0,40.7,36.0,25.5
40,206.5,27.3,35.6,20.6
41,179.0,35.4,42.7,20.1
42,298.6,31.7,3.8,23.7
43,208.9,13.4,29.4,15.9
44,27.1,26.7,48.3,9.5
45,178.1,23.5,32.5,16.9
46,90.7,13.9,36.7,14.6
47,244.9,46.5,19.5,25.2
48,232.2,19.8,52.9,16.8
49,69.9,13.7,41.8,12.7
50,204.8,6.1,38.6,15.4
51,103.4,14.6,7.6,14.7
52,218.4,43.7,41.6,25.6
53,186.6,48.2,63.7,25.2
54,264.7,31.8,16.9,21.2
55,203.9,50.4,65.0,27.7
56,8.3,29.1,45.4,9.5
57,140.2,20.2,19.6,15.2
58,215.8,50.6,41.7,28.8
59,212.7,30.5,12.3,23.4
60,56.5,7.0,25.4,11.1
61,262.3,43.7,55.7,28.2
62,244.3,18.5,30.3,20.7
63,106.7,33.6,12.4,16.0
64,134.1,46.8,31.9,22.0
65,74.0,12.3,2.9,12.3
66,35.5,25.6,5.2,14.5
67,142.3,16.5,13.2,15.4
68,239.4,28.5,12.0,19.9
69,217.8,45.9,28.2,26.3
70,204.1,32.6,41.7,23.3
71,110.8,17.3,32.7,17.4
72,31.8,35.0,21.3,13.8
73,131.4,9.7,33.3,15.0
74,215.4,26.6,15.1,18.0
75,17.9,48.7,91.4,13.7
76,31.5,4.6,22.7,11.9
77,125.5,29.5,15.2,17.2
78,9.4,33.9,14.4,7.3
79,120.0,11.7,27.1,16.0
80,78.4,29.7,25.3,13.8
81,243.8,9.1,41.9,15.3
82,77.3,21.3,33.5,14.3
83,72.4,48.5,38.6,15.6
84,218.5,45.0,38.8,26.7
85,194.2,19.4,69.7,17.2
86,77.3,32.5,20.0,16.0
87,114.7,45.6,67.2,17.0
88,92.3,27.5,77.4,17.9
89,113.8,48.8,52.4,20.7
90,137.3,8.9,12.3,15.2
91,32.6,4.5,34.0,11.3
92,222.7,37.5,61.0,22.4
93,255.9,38.5,76.3,24.2
94,110.4,19.0,12.9,16.5
95,168.3,33.6,55.9,19.9
96,199.6,6.5,8.9,16.7
97,187.9,25.0,23.0,20.5
98,290.7,43.3,54.2,29.4
99,139.2,44.7,50.9,19.2
100,225.4,7.3,54.8,15.7
101,299.4,41.3,103.9,25.8
102,281.2,12.1,22.4,17.8
103,191.9,20.2,18.9,17.7
104,239.2,35.3,7.3,21.7
105,140.9,50.4,64.0,23.2
106,26.0,16.0,34.7,11.2
107,95.4,5.3,27.2,10.7
108,17.1,2.4,29.6,9.3
109,256.4,28.9,6.5,21.8
110,230.8,11.2,59.5,17.4
111,245.7,41.0,27.2,24.8
112,177.7,19.4,4.4,18.1
113,212.6,25.6,12.7,16.9
114,79.2,51.8,37.5,16.6
