Year,Total Fertility Rate,Trend
1960,2.69,High fertility period
1961,2.78,Rising
1962,2.80,Rising
1963,2.82,Peak - highest on record
1964,2.79,Beginning decline
1965,2.70,Declining
1966,2.66,Declining
1967,2.62,Declining
1968,2.58,Declining
1969,2.49,Declining
1970,2.29,Sharp decline
1971,2.20,Declining
1972,2.08,Declining
1973,1.94,Declining
1974,1.91,Declining
1975,1.83,Below replacement level
1976,1.69,Declining
1977,1.63,Declining
1978,1.60,Declining
1979,1.60,Stable
1980,1.65,Slight recovery
1981,1.67,Slight rise
1982,1.66,Stable
1983,1.56,Declining
1984,1.52,Declining
1985,1.47,Declining
1986,1.45,Declining
1987,1.43,Declining
1988,1.45,Slight recovery
1989,1.45,Stable
1990,1.46,Stable
1991,1.51,Rising
1992,1.51,Stable
1993,1.50,Stable
1994,1.47,Declining
1995,1.42,Declining
1996,1.45,Slight rise
1997,1.39,Declining
1998,1.37,Declining
1999,1.34,Declining
2000,1.36,Slight rise
2001,1.33,Near lowest point
2002,1.39,Recovery beginning
2003,1.38,Stable
2004,1.42,Rising
2005,1.41,Stable
2006,1.41,Stable
2007,1.38,Declining
2008,1.42,Rising
2009,1.39,Declining
2010,1.44,Rising
2011,1.43,Stable
2012,1.44,Stable
2013,1.44,Stable
2014,1.46,Rising
2015,1.49,Rising
2016,1.53,Recent peak
2017,1.52,Stable high
2018,1.47,Declining
2019,1.46,Declining
2020,1.44,COVID-19 impact
2021,1.48,Post-pandemic rebound
2022,1.41,Declining
2023,1.32,Lowest on record
