Name,Month,Average,Gain,Gain_p,Peak
Titanic - Machine Learning from Disaster,2025/11/1,15207,13383,733.97%,15207
Housing Prices Competition for Kaggle Learn Users,2025/11/1,5464,3640,199.65%,5464
House Prices - Advanced Regression Techniques,2025/11/1,5150,3326,182.43%,5150
Spaceship Titanic,2025/11/1,1774,-49,-2.71%,1774
Hull Tactical - Market Prediction,2025/11/1,1643,-180,-9.90%,1643
ARC Prize 2025,2025/11/1,1429,-394,-21.63%,1429
Digit Recognizer,2025/11/1,957,-866,-47.52%,957
Natural Language Processing with Disaster Tweets,2025/11/1,891,-932,-51.14%,891
MABe Challenge - Social Action Recognition in Mice,2025/11/1,750,-1073,-58.87%,750
Store Sales - Time Series Forecasting,2025/11/1,549,-1274,-69.89%,549
CAFA 6 Protein Function Prediction,2025/11/1,446,-1377,-75.54%,446
CSIRO - Image2Biomass Prediction,2025/11/1,419,-1404,-77.02%,419
NFL Big Data Bowl 2026 - Prediction,2025/11/1,396,-1427,-78.28%,396
PhysioNet - Digitization of ECG Images,2025/11/1,317,-1506,-82.62%,317
LLM Classification Finetuning,2025/11/1,269,-1554,-85.25%,269
Recod.ai/LUC - Scientific Image Forgery Detection,2025/11/1,267,-1556,-85.36%,267
Predicting Loan Payback,2025/11/1,247,-1576,-86.45%,247
Connect X,2025/11/1,160,-1663,-91.23%,160
Petals to the Metal - Flower Classification on TPU,2025/11/1,134,-1689,-92.65%,134
NFL Big Data Bowl 2026 - Analytics,2025/11/1,0,-1823,-100.00%,0
